Comunidad autónoma de residencia	Tipo de dato	Gastos totales, medios, distribución e índice	Periodo	Total
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2018	16.285,96
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2017	15.905,94
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2016	14.978,65
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2015	14.078,99
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2014	14.022,84
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2013	13.916,09
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2012	14.543,77
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2011	15.331,88
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2010	15.624,4
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2009	15.779,98
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2008	16.611,94
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2007	16.156,91
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2006	15.263,92
01 Andalucía	Dato base	Índice sobre la media del gmp	2020	86,58
01 Andalucía	Dato base	Índice sobre la media del gmp	2019	87,25
01 Andalucía	Dato base	Índice sobre la media del gmp	2018	90,02
01 Andalucía	Dato base	Índice sobre la media del gmp	2017	90,01
01 Andalucía	Dato base	Índice sobre la media del gmp	2016	87,74
01 Andalucía	Dato base	Índice sobre la media del gmp	2015	84,82
01 Andalucía	Dato base	Índice sobre la media del gmp	2014	85,87
01 Andalucía	Dato base	Índice sobre la media del gmp	2013	85,48
01 Andalucía	Dato base	Índice sobre la media del gmp	2012	86,69
01 Andalucía	Dato base	Índice sobre la media del gmp	2011	88,89
01 Andalucía	Dato base	Índice sobre la media del gmp	2010	90,45
01 Andalucía	Dato base	Índice sobre la media del gmp	2009	89,79
01 Andalucía	Dato base	Índice sobre la media del gmp	2008	90,72
01 Andalucía	Dato base	Índice sobre la media del gmp	2007	88,96
01 Andalucía	Dato base	Índice sobre la media del gmp	2006	88,48
01 Andalucía	Variación respecto al año anterior	Gasto total	2020	-11
01 Andalucía	Variación respecto al año anterior	Gasto total	2019	-1,6
01 Andalucía	Variación respecto al año anterior	Gasto total	2018	2,6
01 Andalucía	Variación respecto al año anterior	Gasto total	2017	6,4
01 Andalucía	Variación respecto al año anterior	Gasto total	2016	6,6
01 Andalucía	Variación respecto al año anterior	Gasto total	2015	0,7
01 Andalucía	Variación respecto al año anterior	Gasto total	2014	1,1
01 Andalucía	Variación respecto al año anterior	Gasto total	2013	-4
01 Andalucía	Variación respecto al año anterior	Gasto total	2012	-4,5
01 Andalucía	Variación respecto al año anterior	Gasto total	2011	-1,1
01 Andalucía	Variación respecto al año anterior	Gasto total	2010	0
01 Andalucía	Variación respecto al año anterior	Gasto total	2009	-3,9
01 Andalucía	Variación respecto al año anterior	Gasto total	2008	4,6
01 Andalucía	Variación respecto al año anterior	Gasto total	2007	7,9
01 Andalucía	Variación respecto al año anterior	Gasto total	2006	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2020	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2019	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2018	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2017	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2016	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2015	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2014	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2013	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2012	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2011	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2010	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2009	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2008	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2007	""
01 Andalucía	Variación respecto al año anterior	Distribución porcentual	2006	""
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2020	-11,8
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2019	-1,9
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2018	2,2
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2017	6,1
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2016	6,1
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2015	0
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2014	0,2
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2013	-5
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2012	-5,7
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2011	-2,7
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2010	-1,7
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2009	-5,8
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2008	2,1
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2007	5,1
01 Andalucía	Variación respecto al año anterior	Gasto medio por hogar	2006	""
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2020	-11,4
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2019	-2
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2018	2,5
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2017	6,3
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2016	6,6
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2015	0,6
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2014	1,1
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2013	-4
01 Andalucía	Variación respecto al año anterior	Gasto medio por persona	2012	-4,8
